TF,TARGET
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Y_RNA
TCF3,Z84812.4
TCF3,IL9RP3
TCF3,POLR3K
TCF3,SNRNP25
TCF3,Z69720.3
TCF3,HBQ1
TCF3,LA16c-OS12.2
TCF3,LUC7L
TCF3,AXIN1
TCF3,Z97634.3
TCF3,NME4
TCF3,DECR2
TCF3,LINC00235
TCF3,MIR5587
TCF3,RAB40C
TCF3,WFIKKN1
TCF3,C16orf13
TCF3,FAM195A
TCF3,MSLN
TCF3,AL022341.3
TCF3,WDR90
TCF3,LA16c-349E10.1
TCF3,RHOT2
TCF3,RHBDL1
TCF3,LA16c-313D11.13
TCF3,LA16c-313D11.9
TCF3,STUB1
TCF3,JMJD8
TCF3,WDR24
TCF3,LA16c-313D11.12
TCF3,FBXL16
TCF3,LA16c-380A1.2
TCF3,METRN
TCF3,FAM173A
TCF3,CCDC78
TCF3,HAGHL
TCF3,NARFL
TCF3,RP11-616M22.7
TCF3,UBE2I
TCF3,LA16c-358B7.4
TCF3,LA16c-358B7.3
TCF3,RPS20P2
TCF3,TSR3
TCF3,LA16c-316G12.2
TCF3,UNKL
TCF3,AL031721.1
TCF3,LA16c-312E8.2
TCF3,C16orf91
TCF3,CLCN7
TCF3,CRAMP1L
TCF3,HN1L
TCF3,LA16c-431H6.7
TCF3,LA16c-329F2.2
TCF3,MIR3177
TCF3,NME3
TCF3,MRPS34
TCF3,EME2
TCF3,SPSB3
TCF3,NUBP2
TCF3,IGFALS
TCF3,HAGH
TCF3,FAHD1
TCF3,MEIOB
TCF3,MSRB1
TCF3,RPL3L
TCF3,NDUFB10
TCF3,SNORA10
TCF3,SNORA64
TCF3,AC005363.9
TCF3,RPS2
TCF3,SNHG9
TCF3,SNORA78
TCF3,RNF151
TCF3,AC005363.11
TCF3,TBL3
TCF3,NOXO1
TCF3,GFER
TCF3,AC005606.14
TCF3,SYNGR3
TCF3,AC005606.15
TCF3,ZNF598
TCF3,NPW
TCF3,RN7SL219P
TCF3,SLC9A3R2
TCF3,NTHL1
TCF3,TSC2
TCF3,MIR1225
TCF3,PKD1
TCF3,RP11-304L19.1
TCF3,MIR4516
TCF3,MIR3180-5
TCF3,RAB26
TCF3,SNORD60
TCF3,SNHG19
TCF3,MLST8
TCF3,AC009065.2
TCF3,BRICD5
TCF3,RP11-304L19.8
TCF3,PGP
TCF3,E4F1
TCF3,DNASE1L2
TCF3,RP11-304L19.12
TCF3,RP11-304L19.11
TCF3,ECI1
TCF3,AC009065.4
TCF3,RNPS1
TCF3,ABCA3
TCF3,C16orf59
TCF3,MIR6768
TCF3,RP11-20I23.1
TCF3,ATP6V0C
TCF3,ATP6C
TCF3,RP11-20I23.2
TCF3,AMDHD2
TCF3,CEMP1
TCF3,MIR3178
TCF3,PDPK1
TCF3,SRRM2-AS1
TCF3,LA16c-325D7.2
TCF3,LA16c-380H5.2
TCF3,LA16c-380H5.5
TCF3,CLDN9
TCF3,CLDN6
TCF3,TNFRSF12A
TCF3,HCFC1R1
TCF3,THOC6
TCF3,RNU1-125P
TCF3,ZNF205-AS1
TCF3,ZNF205
TCF3,ZNF213-AS1
TCF3,ZNF213
TCF3,CASP16
TCF3,RP11-473M20.16
TCF3,AJ003147.8
TCF3,AJ003147.9
TCF3,NAA60
TCF3,LA16c-306E5.3
TCF3,MIR6126
TCF3,C16orf90
TCF3,LA16c-306E5.1
TCF3,CLUAP1
TCF3,CREBBP
TCF3,RP11-95P2.1
TCF3,GLIS2
TCF3,AC005356.1
TCF3,RP11-295D4.1
TCF3,NMRAL1
TCF3,HMOX2
TCF3,CDIP1
TCF3,RP11-709D24.8
TCF3,UBALD1
TCF3,RN7SL850P
TCF3,RP11-709D24.6
TCF3,NUDT16L1
TCF3,ZNF500
TCF3,Metazoa_SRP
TCF3,USP7
TCF3,RP11-77H9.8
TCF3,RP11-473I1.6
TCF3,C16orf72
TCF3,RP11-473I1.9
TCF3,RP11-876N24.1
TCF3,RP11-876N24.3
TCF3,RP11-876N24.7
TCF3,RP11-876N24.5
TCF3,RP11-876N24.4
TCF3,DEXI
TCF3,CLEC16A
TCF3,SOCS1
TCF3,ZC3H7A
TCF3,RP11-486I11.2
TCF3,RSL1D1
TCF3,RP11-166B2.8
TCF3,ERCC4
TCF3,MKL2
TCF3,MIR193B
TCF3,PARN
TCF3,KIAA0430
TCF3,NDE1
TCF3,MIR484
TCF3,RP11-626G11.5
TCF3,COQ7
TCF3,RP11-626G11.4
TCF3,RP11-626G11.6
TCF3,ITPRIPL2
TCF3,RP11-626G11.3
TCF3,GDE1
TCF3,CCP110
TCF3,C16orf62
TCF3,IQCK
TCF3,ERI2
TCF3,AC004381.6
TCF3,SMG1P3
TCF3,MIR3680-2
TCF3,SLC7A5P2
TCF3,CTB-31N19.5
TCF3,CTB-31N19.4
TCF3,CTB-31N19.2
TCF3,RP11-141O15.1
TCF3,POLR3E
TCF3,USP31
TCF3,SCNN1G
TCF3,EARS2
TCF3,UBFD1
TCF3,PALB2
TCF3,DCTN5
TCF3,RP11-266L9.4
TCF3,RP11-266L9.5
TCF3,SCML2P2
TCF3,LCMT1-AS1
TCF3,RP11-266L9.8
TCF3,LCMT1
TCF3,IL4R
TCF3,CTD-3203P2.3
TCF3,GTF3C1
TCF3,XPO6
TCF3,ATXN2L
TCF3,MIR4721
TCF3,TUFM
TCF3,SH2B1
TCF3,ATP2A1
TCF3,RP11-22P6.3
TCF3,NFATC2IP
TCF3,RP11-264B17.2
TCF3,MIR4517
TCF3,SPNS1
TCF3,RP11-264B17.3
TCF3,SMG1P2
TCF3,RP11-368N21.5
TCF3,MIR3680-1
TCF3,SLC7A5P1
TCF3,RP11-368N21.1
TCF3,KIF22
TCF3,AC009133.21
TCF3,MAZ
TCF3,AC009133.15
TCF3,AC009133.12
TCF3,PRRT2
TCF3,PAGR1
TCF3,PAGR1
TCF3,MVP
TCF3,CDIPT
TCF3,CTD-2574D22.7
TCF3,CDIPT-AS1
TCF3,DOC2A
TCF3,C16orf92
TCF3,FAM57B
TCF3,ALDOA
TCF3,CTD-2515O10.5
TCF3,PPP4C
TCF3,RP11-455F5.3
TCF3,GDPD3
TCF3,MAPK3
TCF3,SMG1P5
TCF3,RP11-347C12.12
TCF3,CD2BP2
TCF3,TBC1D10B
TCF3,MYLPF
TCF3,SNORA42
TCF3,DCTPP1
TCF3,RP11-297C4.7
TCF3,SEPHS2
TCF3,RP11-297C4.3
TCF3,RNU7-61P
TCF3,RP11-297C4.2
TCF3,ZNF768
TCF3,AC002310.14
TCF3,AC002310.12
TCF3,ZNF747
TCF3,ZNF747
TCF3,ZNF764
TCF3,AC002310.13
TCF3,ZNF688
TCF3,AC002310.7
TCF3,RP11-146F11.5
TCF3,SRCAP
TCF3,PHKG2
TCF3,C16orf93
TCF3,RNF40
TCF3,RP11-2C24.3
TCF3,MIR4519
TCF3,MIR4519
TCF3,CTF1
TCF3,CTF2P
TCF3,FBXL19
TCF3,FBXL19-AS1
TCF3,RP11-1072A3.4
TCF3,SETD1A
TCF3,RP11-1072A3.3
TCF3,STX1B
TCF3,ZNF668
TCF3,AC135050.5
TCF3,ZNF646
TCF3,PRSS53
TCF3,VKORC1
TCF3,RP11-196G11.3
TCF3,RP11-196G11.1
TCF3,BCKDK
TCF3,AC135050.1
TCF3,RP11-196G11.4
TCF3,RP11-196G11.5
TCF3,PRSS8
TCF3,PRSS36
TCF3,RP11-388M20.7
TCF3,FUS
TCF3,RP11-388M20.6
TCF3,RP11-388M20.1
TCF3,PYCARD-AS1
TCF3,PYCARD
TCF3,TRIM72
TCF3,PYDC1
TCF3,ZNF843
TCF3,RP11-452L6.1
TCF3,RP11-452L6.5
TCF3,TGFB1I1
TCF3,RP11-452L6.6
TCF3,SLC5A2
TCF3,AC026471.6
TCF3,CLUHP3
TCF3,SHCBP1
TCF3,RP11-46D6.1
TCF3,RAB43P1
TCF3,RP11-480G7.2
TCF3,C16orf87
TCF3,GPT2
TCF3,ABCC11
TCF3,LONP2
TCF3,N4BP1
TCF3,CTC-527H23.1
TCF3,CTC-527H23.2
TCF3,RP11-42I10.1
TCF3,HEATR3
TCF3,RP11-429P3.3
TCF3,RP11-429P3.5
TCF3,RP11-401P9.5
TCF3,RP11-327F22.6
TCF3,CYLD
TCF3,AKTIP
TCF3,RP11-212I21.2
TCF3,AMFR
TCF3,RPS24P17
TCF3,RSPRY1
TCF3,PLLP
TCF3,CTC-661I16.1
TCF3,CTC-661I16.2
TCF3,CCDC102A
TCF3,DRC7
TCF3,RP11-405F3.4
TCF3,KATNB1
TCF3,KIFC3
TCF3,CTD-2600O9.1
TCF3,TEPP
TCF3,USB1
TCF3,ZNF319
TCF3,MMP15
TCF3,RP11-332G1.1
TCF3,CFAP20
TCF3,CTB-134F13.1
TCF3,RP11-459F6.3
TCF3,RNU6-103P
TCF3,SETD6
TCF3,RP11-481J2.4
TCF3,CNOT1
TCF3,CKLF
TCF3,NAE1
TCF3,PDP2
TCF3,RP11-61A14.2
TCF3,FAM96B
TCF3,CES2
TCF3,CES4A
TCF3,RP11-361L15.5
TCF3,RN7SL543P
TCF3,CBFB
TCF3,B3GNT9
TCF3,TRADD
TCF3,FBXL8
TCF3,HSF4
TCF3,RP11-5A19.5
TCF3,NOL3
TCF3,KIAA0895L
TCF3,EXOC3L1
TCF3,E2F4
TCF3,ELMO3
TCF3,MIR328
TCF3,CTC-277H1.6
TCF3,LRRC29
TCF3,TMEM208
TCF3,CTC-277H1.7
TCF3,AGRP
TCF3,RP11-297D21.4
TCF3,CTD-2012K14.7
TCF3,CTCF
TCF3,RLTPR
TCF3,ACD
TCF3,PARD6A
TCF3,ENKD1
TCF3,C16orf86
TCF3,GFOD2
TCF3,RANBP10
TCF3,TSNAXIP1
TCF3,CENPT
TCF3,THAP11
TCF3,NUTF2
TCF3,EDC4
TCF3,AC040162.1
TCF3,CTC-479C5.10
TCF3,NRN1L
TCF3,CTRL
TCF3,PSMB10
TCF3,CTC-479C5.12
TCF3,LCAT
TCF3,SLC12A4
TCF3,DPEP3
TCF3,RP11-67A1.4
TCF3,RPS12P27
TCF3,RP11-96D1.5
TCF3,RP11-96D1.11
TCF3,ESRP2
TCF3,MIR6773
TCF3,RP11-96D1.6
TCF3,SLC7A6OS
TCF3,RP11-96D1.3
TCF3,ZFP90
TCF3,RNU4-36P
TCF3,CIRH1A
TCF3,CHTF8
TCF3,CYB5B
TCF3,MIR1538
TCF3,SMG1P7
TCF3,EXOSC6
TCF3,AARS
TCF3,DDX19B
TCF3,DDX19A
TCF3,RP11-529K1.4
TCF3,RPS27P26
TCF3,RNU6-23P
TCF3,FUK
TCF3,SNORA70D
TCF3,PHLPP2
TCF3,RP11-432I5.8
TCF3,RP11-432I5.4
TCF3,AP1G1
TCF3,ZFHX3
TCF3,GLG1
TCF3,MLKL
TCF3,FA2H
TCF3,CTRB2
TCF3,CTRB1
TCF3,RP11-331F4.4
TCF3,BCAR1
TCF3,RP11-331F4.5
TCF3,RP11-77K12.9
TCF3,TMEM231
TCF3,RP11-490B18.5
TCF3,WWOX
TCF3,GAN
TCF3,MLYCD
TCF3,OSGIN1
TCF3,RP11-61F12.1
TCF3,KLHL36
TCF3,RP11-118F19.1
TCF3,CTD-2542L18.1
TCF3,GINS2
TCF3,RP11-178L8.3
TCF3,ZCCHC14
TCF3,MIR6775
TCF3,RP4-536B24.2
TCF3,SLC7A5
TCF3,GS1-21A4.2
TCF3,GS1-21A4.1
TCF3,CTD-3057O21.1
TCF3,MIR5189
TCF3,MVD
TCF3,SNAI3
TCF3,RP5-1142A6.5
TCF3,RNF166
TCF3,CTU2
TCF3,MIR4722
TCF3,RP5-1142A6.2
TCF3,RP5-1142A6.7
TCF3,RP5-1142A6.8
TCF3,APRT
TCF3,GALNS
TCF3,TRAPPC2L
TCF3,PABPN1L
TCF3,RP11-830F9.5
TCF3,CDH15
TCF3,RNU6-430P
TCF3,RP11-104N10.1
TCF3,RP11-104N10.2
TCF3,RPL13
TCF3,SNORD68
TCF3,CPNE7
TCF3,CHMP1A
TCF3,SPATA33
TCF3,CDK10
TCF3,RP11-368I7.4
TCF3,SPATA2L
TCF3,VPS9D1
TCF3,VPS9D1-AS1
TCF3,ZNF276
TCF3,FANCA
TCF3,TCF25
TCF3,RP11-566K11.7
TCF3,DEF8
TCF3,GAS8-AS1
TCF3,PDE6B
TCF3,RP11-1191J2.2
TCF3,RP11-1191J2.5
TCF3,ATP5I
TCF3,MYL5
TCF3,MFSD7
TCF3,PCGF3
TCF3,DGKQ
TCF3,IDUA
TCF3,SLC26A1
TCF3,CTBP1-AS2
TCF3,MAEA
TCF3,UVSSA
TCF3,AC078852.1
TCF3,AC078852.2
TCF3,FAM53A
TCF3,RP11-572O17.1
TCF3,RN7SL671P
TCF3,WHSC1
TCF3,MIR943
TCF3,NELFA
TCF3,ZFYVE28
TCF3,RP11-503N18.1
TCF3,CFAP99
TCF3,RP11-503N18.4
TCF3,NOP14-AS1
TCF3,NOP14
TCF3,GRK4
TCF3,RNU6-204P
TCF3,HTT-AS1_1
TCF3,HTT-AS1_2
TCF3,HTT-AS
TCF3,LRPAP1
TCF3,FKSG51
TCF3,EVC2
TCF3,EVC
TCF3,MAN2B2
TCF3,AC093323.3
TCF3,RP11-539L10.3
TCF3,RP11-539L10.2
TCF3,AC093323.1
TCF3,S100P
TCF3,MRFAP1L1
TCF3,BLOC1S4
TCF3,KIAA0232
TCF3,AC097382.5
TCF3,RN7SKP292
TCF3,AC097382.1
TCF3,GRPEL1
TCF3,TAPT1-AS1
TCF3,LAP3
TCF3,PI4K2B
TCF3,SMIM20
TCF3,RP13-494C23.1
TCF3,RBPJ
TCF3,RBM47
TCF3,APBB2
TCF3,UCHL1
TCF3,UCHL1-AS1
TCF3,RP11-109E24.2
TCF3,ATP10D
TCF3,CORIN
TCF3,NIPAL1
TCF3,NFXL1
TCF3,CNGA1
TCF3,TEC
TCF3,FRYL
TCF3,OCIAD1
TCF3,OCIAD2
TCF3,USP46
TCF3,RASL11B
TCF3,FIP1L1
TCF3,CHIC2
TCF3,SRD5A3
TCF3,SRD5A3-AS1
TCF3,TMEM165
TCF3,CLOCK
TCF3,SDAD1
TCF3,NUP54
TCF3,FAM47E
TCF3,SEPT11
TCF3,TXNP6
TCF3,CCNI
TCF3,RPL7P17
TCF3,CCNG2
TCF3,RP11-109G23.3
TCF3,BMP2K
TCF3,PRDM8
TCF3,SCD5
TCF3,SEC31A
TCF3,RP11-576N17.2
TCF3,RP11-576N17.3
TCF3,RP11-576N17.5
TCF3,COQ2
TCF3,HPSE
TCF3,ARHGAP24
TCF3,RP11-397E7.4
TCF3,FAM13A
TCF3,PPP3CA
TCF3,FLJ20021
TCF3,AF213884.2
TCF3,RP11-10L12.1
TCF3,MANBA
TCF3,RP11-286E11.1
TCF3,SEC24D
TCF3,SYNPO2
TCF3,ANXA5
TCF3,SPRY1
TCF3,HSPA4L
TCF3,PLK4
TCF3,RP11-130C6.1
TCF3,JADE1
TCF3,ELF2
TCF3,RN7SL311P
TCF3,NDUFC1
TCF3,NAA15
TCF3,RP11-83A24.2
TCF3,RAB33B
TCF3,INPP4B
TCF3,MIR3139
TCF3,RP11-364L4.1
TCF3,ZNF827
TCF3,MIR4799
TCF3,RPS3A
TCF3,TMEM154
TCF3,RP11-768B22.2
TCF3,ARFIP1
TCF3,TIGD4
TCF3,TMEM192
TCF3,MSMO1
TCF3,SH3RF1
TCF3,HMGB2
TCF3,DCTD
TCF3,CDKN2AIP
TCF3,RP11-162O12.1
TCF3,AC079080.1
TCF3,SNORD79
TCF3,RP11-326I11.5
TCF3,IRF2
TCF3,RP11-326I11.3
TCF3,RP11-326I11.4
TCF3,RP11-701P16.2
TCF3,SLC25A4
TCF3,FLJ38576
TCF3,CYP4V2
TCF3,ID2-AS1
TCF3,ID2
TCF3,KIDINS220
TCF3,ADAM17
TCF3,RP11-214N9.1
TCF3,GRHL1
TCF3,AC010969.1
TCF3,RP11-254F7.1
TCF3,RP11-254F7.2
TCF3,KLF11
TCF3,RP11-254F7.3
TCF3,CYS1
TCF3,AC104794.4
TCF3,SNORA51
TCF3,SNORA80B
TCF3,ODC1
TCF3,RP11-320M2.1
TCF3,AC007249.3
TCF3,ATP6V1C2
TCF3,RP11-791G15.2
TCF3,FLJ33534
TCF3,C2orf50
TCF3,PQLC3
TCF3,ROCK2
TCF3,E2F6
TCF3,SDC1
TCF3,AC007041.2
TCF3,PUM2
TCF3,RHOB
TCF3,AC023137.2
TCF3,HS1BP3
TCF3,AC012065.7
TCF3,SF3B6
TCF3,FAM228B
TCF3,TP53I3
TCF3,ITSN2
TCF3,RPL36AP13
TCF3,NCOA1
TCF3,Metazoa_SRP
TCF3,DNMT3A
TCF3,AC012074.2
TCF3,ASXL2
TCF3,HADHA
TCF3,GPR113
TCF3,EPT1
TCF3,SLC35F6
TCF3,CENPA
TCF3,TMEM214
TCF3,AGBL5
TCF3,AGBL5-AS1
TCF3,AGBL5-IT1
TCF3,RP11-195B17.1
TCF3,OST4
TCF3,EMILIN1
TCF3,KHK
TCF3,SLC30A3
TCF3,GTF3C2
TCF3,AC074117.10
TCF3,ZNF513
TCF3,PPM1G
TCF3,MRPL33
TCF3,FOSL2
TCF3,FLJ31356
TCF3,RP11-373D23.2
TCF3,PLB1
TCF3,WDR43
TCF3,AC016907.3
TCF3,DPY30
TCF3,BIRC6
TCF3,FAM98A
TCF3,ATP6V0E1P3
TCF3,STRN
TCF3,CYP1B1-AS1
TCF3,CYP1B1
TCF3,RP11-541E12.1
TCF3,AC011247.3
TCF3,SRSF7
TCF3,GEMIN6
TCF3,HSPE1P13
TCF3,SOS1
TCF3,MAP4K3
TCF3,COX7A2L
TCF3,OXER1
TCF3,HAAO
TCF3,ZFP36L2
TCF3,PPM1B
TCF3,RP11-559M23.1
TCF3,PREPL
TCF3,CAMKMT
TCF3,CALM2
TCF3,FBXO11
TCF3,AC079807.2
TCF3,FOXN2
TCF3,RP11-191L17.1
TCF3,PPP1R21
TCF3,ACYP2
TCF3,AC092839.4
TCF3,AC012358.4
TCF3,CLHC1
TCF3,RPS27A
TCF3,CTD-2026C7.1
TCF3,PAPOLG
TCF3,RN7SL632P
TCF3,RPL21P33
TCF3,AC092155.4
TCF3,EHBP1
TCF3,WDPCP
TCF3,LINC00309
TCF3,RP11-547M24.1
TCF3,AC008074.3
TCF3,LGALSL
TCF3,AFTPH
TCF3,AC007365.1
TCF3,AC007365.3
TCF3,SERTAD2
TCF3,AC007365.4
TCF3,AC007386.2
TCF3,RN7SL211P
TCF3,SLC1A4
TCF3,RNU6-548P
TCF3,RAB1A
TCF3,GMCL1
TCF3,PCBP1-AS1
TCF3,RN7SL470P
TCF3,PCBP1
TCF3,AC016700.2
TCF3,AC016700.3
TCF3,AC016700.4
TCF3,C2orf42
TCF3,PCYOX1
TCF3,SNRPG
TCF3,AC022201.5
TCF3,FAM136A
TCF3,AC007040.6
TCF3,TEX261
TCF3,AC007040.11
TCF3,OR7E62P
TCF3,AC007040.8
TCF3,MCEE
TCF3,ZNF638
TCF3,SMYD5
TCF3,PRADC1
TCF3,CCT7
TCF3,ALMS1
TCF3,DGUOK-AS1
TCF3,AC073046.25
TCF3,RP11-711M9.2
TCF3,RP11-287D1.5
TCF3,RP11-287D1.2
TCF3,MTHFD2
TCF3,SLC4A5
TCF3,DCTN1
TCF3,AC005041.11
TCF3,C2orf81
TCF3,HMGA1P8
TCF3,WDR54
TCF3,INO80B
TCF3,INO80B-WBP1
TCF3,WBP1
TCF3,MOGS
TCF3,MRPL53
TCF3,CCDC142
TCF3,TTC31
TCF3,LBX2
TCF3,RP11-523H20.3
TCF3,LBX2-AS1
TCF3,PCGF1
TCF3,TLX2
TCF3,DQX1
TCF3,AUP1
TCF3,HTRA2
TCF3,DOK1
TCF3,LOXL3
TCF3,HK2
TCF3,RP11-259N19.1
TCF3,AC022210.2
TCF3,KCMF1
TCF3,TCF7L1
TCF3,AC093162.5
TCF3,TGOLN2
TCF3,MAT2A
TCF3,GGCX
TCF3,VAMP8
TCF3,Metazoa_SRP
TCF3,VAMP5
TCF3,RNF181
TCF3,AC016753.1
TCF3,TMEM150A
TCF3,USP39
TCF3,C2orf68
TCF3,ST3GAL5
TCF3,ST3GAL5-AS1
TCF3,MIR4779
TCF3,IMMT
TCF3,RP11-301O19.1
TCF3,AC062029.1
TCF3,RPIA
TCF3,ASTL
TCF3,DUSP2
TCF3,AC012307.2
TCF3,STARD7
TCF3,STARD7-AS1
TCF3,TMEM127
TCF3,CIAO1
TCF3,SNRNP200
TCF3,NCAPH
TCF3,NEURL3
TCF3,CNNM4
TCF3,RP11-353K11.1
TCF3,CNNM3
TCF3,ANKRD23
TCF3,ANKRD39
TCF3,SEMA4C
TCF3,PDCL3
TCF3,TBC1D8
TCF3,RP11-299H21.1
TCF3,MFSD9
TCF3,TMEM182
TCF3,AC012360.4
TCF3,TGFBRAP1
TCF3,C2orf49
TCF3,RP11-332H14.2
TCF3,NCK2
TCF3,AC018878.3
TCF3,Metazoa_SRP
TCF3,AC096670.3
TCF3,BCL2L11
TCF3,ANAPC1
TCF3,TMEM87B
TCF3,RGPD8
TCF3,TTL
TCF3,POLR1B
TCF3,AC079922.2
TCF3,FLJ42351
TCF3,SLC20A1
TCF3,NT5DC4
TCF3,CKAP2L
TCF3,IL1A
TCF3,IL1RN
TCF3,RP11-141B14.1
TCF3,ACTR3
TCF3,DDX18
TCF3,AC009404.2
TCF3,HTR5BP
TCF3,STEAP3
TCF3,DBI
TCF3,CLASP1
TCF3,NIFK
TCF3,AC013474.4
TCF3,RNU6-675P
TCF3,PROC
TCF3,SFT2D3
TCF3,UGGT1
TCF3,AC132479.4
TCF3,CCDC115
TCF3,IMP4
TCF3,PTPN18
TCF3,FAM168B
TCF3,PLEKHB2
TCF3,DARS
TCF3,EPC2
TCF3,RBM43
TCF3,NMI
TCF3,STAM2
TCF3,PRPF40A
TCF3,ARL6IP6
TCF3,ACVR1
TCF3,UPP2
TCF3,RP11-546J1.1
TCF3,TANC1
TCF3,WDSUB1
TCF3,CERS6
TCF3,CCDC173
TCF3,PHOSPHO2
TCF3,GAD1
TCF3,GORASP2
TCF3,METTL8
TCF3,DCAF17
TCF3,SLC25A12
TCF3,METAP1D
TCF3,PK
TCF3,OLA1
TCF3,MIR3128
TCF3,NFE2L2
TCF3,AC079305.10
TCF3,AGPS
TCF3,AC074286.1
TCF3,TTC30B
TCF3,PRKRA
TCF3,DFNB59
TCF3,AC009948.7
TCF3,SSFA2
TCF3,ANKAR
TCF3,C2orf88
TCF3,INPP1
TCF3,HIBCH
TCF3,MFSD6
TCF3,NAB1
TCF3,AC006460.2
TCF3,STAT4
TCF3,DNAH7
TCF3,ATP5G2P3
TCF3,CLK1
TCF3,IMPDH1P10
TCF3,RNU7-45P
TCF3,CASP8
TCF3,TRAK2
TCF3,STRADB
TCF3,FAM117B
TCF3,AC007879.5
