TF,TARGET
AATF,BAX
AATF,CDKN1A
AATF,KLK3
AATF,MYC
AATF,TP53
ABL1,BAX
ABL1,BCL2
ABL1,BCL6
ABL1,CCND2
ABL1,CDKN1A
ABL1,CSF1
ABL1,FOXO3
ABL1,JUN
ABL1,PIM1
ABL1,TP53
AES,EPHA3
AES,LEF1
AES,RND3
AHR,ABCG2
AHR,AHRR
AHR,ARNT
AHR,BRCA1
AHR,CA9
AHR,CCND1
AHR,CCNG2
AHR,CYP1A1
AHR,CYP1A2
AHR,CYP1B1
AHR,CYP2B6
AHR,FOS
AHR,IL13
AHR,IL1B
AHR,IL6
AHR,MFSD2A
AHR,MT2A
AHR,MYC
AHR,PCNA
AHR,RFC3
AHR,UGT1A1
AHR,UGT1A6
AIP,AHR
AIP,GREB1
AIP,NFKB2
AIP,RSF1
AIP,TFF1
AIRE,CHRNA1
ANKRD1,NPPA
APBB1,GMPS
APC,AKT1
APC,AMHR2
APC,BIRC5
APC,DLG1
APC,DNMT1
APC,F8
APC,KLF4
APC,MYC
APC,NOS2
APC,ODC1
APC,PTGS2
APC,SGK1
APEX1,CCL2
APEX1,CD19
APEX1,CYP11B2
APEX1,NFKB1
APEX1,PTH
APEX1,RELA
APEX1,SLC5A5
AR,ACTA1
AR,AKR1C3
AR,AKT1
AR,ALDH1A3
AR,ARG1
AR,ARG2
AR,ATAD2
AR,BSG
AR,BTG1
AR,BTG2
AR,CDC6
AR,CDH1
AR,CDH11
AR,CDH2
AR,CDK20
AR,CDK6
AR,CDKN1A
AR,CLK3
AR,CRH
AR,CRISP1
AR,CRISP3
AR,CTNNB1
AR,CYP7B1
AR,EGFR
AR,ELK4
AR,EP300
AR,ERBB2
AR,ERBB3
AR,ETV1
AR,FKBP4
AR,FN1
AR,FOLH1
AR,FOXA1
AR,GNMT
AR,GREB1
AR,GTF2F1
AR,HMMR
AR,HMOX1
ARID1A,CDKN1A
ARID1A,IGH
ARID1A,SMAD3
ARID1B,IGH
ARID3A,CDC6
ARID3A,CDK1
ARID3A,CR2
ARID3A,E2F1
ARID3A,PML
ARID3A,RBL1
ARID4A,CIITA
ARID4B,ACAP2
ARID4B,ARHGAP15
ARID4B,ARID5B
ARID4B,ATF7IP
ARID4B,ATRX
ARID4B,BBX
ARID4B,BTG1
ARID4B,CCNL1
ARID4B,CDC73
ARID4B,CELF1
ARID4B,CHD6
ARID4B,CTCF
ARID4B,CWC15
ARID4B,DDX5
ARID4B,DENND4A
ARID4B,DHX36
ARID4B,EEA1
ARID4B,EIF3D
ARID4B,ELMO1
ARID4B,FAM172A
ARID4B,HSP90B1
ARID4B,IRF2
ARID4B,ITPR2
ARID4B,JAK1
ARID4B,JMJD1C
ARID4B,KDM5A
ARID4B,KIF2A
ARID4B,KMT2E
ARID4B,LYN
ARID4B,MBNL1
ARID4B,MTSS1
ARID4B,NCOR1
ARID4B,NIPBL
ARID4B,NUB1
ARID4B,PPP1R12A
ARID4B,PTPRC
ARID4B,RALGPS2
ARID4B,RAP1B
ARID4B,REV3L
ARID4B,RIF1
ARID4B,RNF20
ARID4B,RPL24
ARID4B,RPL27
ARID4B,RSRC2
ARID4B,RTF1
ARID4B,SBNO1
ARID4B,SCAF11
ARID4B,SMAP2
ARID4B,SMARCC2
ARID4B,SMCHD1
ARID4B,SNX2
ARID4B,SRP14
ARID4B,TAF3
ARID4B,TNPO1
ARID4B,TPP2
ARID4B,U2SURP
ARID4B,UBN1
ARID4B,USP34
ARID4B,USP8
ARID4B,UTRN
ARID4B,XRN2
ARID4B,ZNF318
ARID5B,FCHSD2
ARID5B,MEF2C
ARID5B,REL
AR,IFI16
AR,IGF1R
AR,IGFBP3
AR,JUN
AR,KISS1
AR,KISS1R
AR,KLF5
AR,KLK1
AR,KLK2
AR,KLK3
AR,KLK4
AR,MED1
AR,MID1
AR,MUC1
AR,MYC
AR,NAT1
AR,NDRG1
AR,NFKB1
AR,NKX3-1
AR,NOV
AR,NRAS
ARNT,AHR
ARNT,BHLHE40
ARNT,BRCA1
ARNT,CA9
ARNT,CCNE1
ARNT,CDK2
ARNT,CTSD
ARNT,CYP1A1
ARNT,CYP1B1
ARNT,EGLN2
ARNT,EPO
ARNT,ESR1
ARNT,FOS
ARNT,GAD1
ARNT,HIF1A
ARNT,JUN
ARNTL2,SERPINE1
ARNTL,BHLHE40
ARNTL,CRY1
ARNTL,CRY2
ARNTL,PER1
ARNTL,PER2
ARNTL,PER3
ARNT,MFSD2A
ARNT,RELB
ARNT,UGT1A6
ARNT,VEGFA
AR,PC
AR,PEBP1
AR,PIGR
AR,PIP
AR,PMEPA1
AR,PNRC1
AR,PSCA
AR,PTEN
AR,PTGS2
AR,PTPN1
AR,RELA
AR,REST
AR,SEPT7
AR,SERPINB5
AR,SESN1
AR,SRD5A3
AR,STIM1
AR,TBP
AR,TCF7L2
AR,TGFA
AR,TH
AR,TJP1
AR,TMPRSS2
AR,TRPS1
AR,TSC1
AR,TSC2
AR,UCN
AR,UGT2B15
AR,USP26
AR,VEGFA
AR,VIM
AR,WEE1
AR,WNT7B
AR,XIAP
ARX,KDM5C
ARX,LMO1
ARX,PAX4
ARX,SHOX2
ASCL1,CHRNA3
ASCL1,CHRNA5
ASCL1,CHRNB4
ASCL1,DKK1
ASCL1,IGF2
ASCL1,PCSK6
ASCL1,TPH1
ASH1L,TGFB1
ASH1L,TIMP1
ASXL1,FABP4
ATF1,BCL2
ATF1,CCNA1
ATF1,CFTR
ATF1,CGA
ATF1,CYP11B1
ATF1,CYP11B2
ATF1,ERBB2
ATF1,FLT1
ATF1,FTH1
ATF1,GABPA
ATF1,IL10
ATF1,LDHA
ATF1,MAP1LC3B
ATF1,MITF
ATF1,MUC2
ATF1,NTS
ATF1,PCSK1
ATF1,PLAUR
ATF1,SLC20A1
ATF1,SLC22A8
ATF1,TGFB2
ATF1,TH
ATF1,TOP2A
ATF1,USP7
ATF2,AC003092.1
ATF2,AC003991.3
ATF2,AC005808.3
ATF2,AC007036.6
ATF2,AC007050.17
ATF2,AC007283.4
ATF2,AC007365.2
ATF2,AC007879.1
ATF2,AC008592.3
ATF2,AC008592.4
ATF2,AC008592.5
ATF2,AC008850.3
ATF2,AC009263.2
ATF2,AC010976.2
ATF2,AC011933.2
ATF2,AC016700.5
ATF2,AC018512.1
ATF2,AC019129.1
ATF2,AC019129.2
ATF2,AC019131.1
ATF2,AC023137.2
ATF2,AC068669.1
ATF2,AC068831.15
ATF2,AC074391.1
ATF2,AC079080.1
ATF2,AC079305.11
ATF2,AC079305.5
ATF2,AC093110.1
ATF2,AC097721.2
ATF2,AC107993.1
ATF2,AC116366.6
ATF2,ACP5
ATF2,ACTR2
