TF,TARGET
ARID4A,CIITA
ARID4B,ACAP2
ARID4B,ARHGAP15
ARID4B,ARID5B
ARID4B,ATF7IP
ARID4B,ATRX
ARID4B,BBX
ARID4B,BTG1
ARID4B,CCNL1
ARID4B,CDC73
ARID4B,CHD6
ARID4B,CTCF
ARID4B,CWC15
ARID4B,DDX5
ARID4B,DENND4A
ARID4B,DHX36
ARID4B,EEA1
ARID4B,EIF3D
ARID4B,ELMO1
ARID4B,FAM172A
ARID4B,HSP90B1
ARID4B,IRF2
ARID4B,ITPR2
ARID4B,JAK1
ARID4B,JMJD1C
ARID4B,KDM5A
ARID4B,KIF2A
ARID4B,KMT2E
ARID4B,LYN
ARID4B,MBNL1
ARID4B,MTSS1
ARID4B,NCOR1
ARID4B,NIPBL
ARID4B,NUB1
ARID4B,PPP1R12A
ARID4B,PTPRC
ARID4B,RALGPS2
ARID4B,RAP1B
ARID4B,REV3L
ARID4B,RIF1
ARID4B,RNF20
ARID4B,RPL24
ARID4B,RPL27
ARID4B,RSRC2
ARID4B,RTF1
ARID4B,SBNO1
ARID4B,SCAF11
ARID4B,SMAP2
ARID4B,SMARCC2
ARID4B,SMCHD1
ARID4B,SNX2
ARID4B,SRP14
ARID4B,TAF3
ARID4B,TNPO1
ARID4B,TPP2
ARID4B,U2SURP
ARID4B,UBN1
ARID4B,USP34
ARID4B,USP8
ARID4B,UTRN
ARID4B,XRN2
ARID4B,ZNF318
ARID4B,CELF1
ARID5B,FCHSD2
ARID5B,MEF2C
ARID5B,REL
BCL11A,LYN
BCL11A,PAX5
BCL11A,PTPRC
BCL11A,RALGPS2
BCL11A,ZCCHC7
CEBPZ,ATF7IP
CEBPZ,DEK
CEBPZ,FBL
CEBPZ,KMT2E
CEBPZ,LUC7L3
CEBPZ,PSMD12
CSDE1,CCT5
CSDE1,CCT8
CSDE1,IRF2
CSDE1,PSMA4
FOS,ALOX5AP
FOS,HERPUD1
FOS,LYN
FOS,LYST
FOS,MEF2C
FOS,NCF4
FOS,PGD
FOS,PLEK
FOS,SYK
FOS,SYNE1
FOS,TMBIM6
FOS,VIM
FOS,DHX38
FOS,RGS1
FOS,EGR1
LYAR,CCT5
LYAR,ILF2
LYAR,PSMD7
MEF2C,ABRACL
MEF2C,ARID4B
MEF2C,ARID5B
MEF2C,ATAD2B
MEF2C,ATRX
MEF2C,BCL11A
MEF2C,BLNK
MEF2C,BTG1
MEF2C,CANX
MEF2C,CCDC186
MEF2C,CCDC50
MEF2C,CCT5
MEF2C,CCT8
MEF2C,CD79B
MEF2C,CHD6
MEF2C,CLPTM1L
MEF2C,CRLF3
MEF2C,CTSC
MEF2C,CWC27
MEF2C,DDX18
MEF2C,DDX5
